# k_step gamma S_color
23 1.810000e-02 7.980000e-02
20 2.330000e-02 3.670000e-02
18 2.200000e-02 6.800000e-03
17 2.560000e-02 2.000000e-03
16 2.550000e-02 2.200000e-03
15 3.110000e-02 3.200000e-03
1000 2.000000e-04 2.001000e-01
100 3.600000e-03 1.382000e-01
65 6.100000e-03 1.493000e-01
50 7.900000e-03 1.018000e-01
40 1.050000e-02 6.720000e-02
30 1.330000e-02 2.490000e-02
26 1.670000e-02 3.500000e-03
23 1.940000e-02 1.200000e-03
20 2.360000e-02 6.300000e-03
18 2.510000e-02 2.800000e-03
17 2.590000e-02 4.900000e-03
16 2.820000e-02 8.100000e-03
15 3.060000e-02 1.010000e-02
1000 2.000000e-04 1.889000e-01
100 2.900000e-03 1.641000e-01
65 4.700000e-03 1.534000e-01
50 8.200000e-03 1.054000e-01
40 9.700000e-03 1.377000e-01
30 1.320000e-02 5.770000e-02
26 1.550000e-02 5.000000e-03
23 1.870000e-02 1.150000e-02
20 2.170000e-02 3.250000e-02
18 2.400000e-02 6.300000e-03
17 2.660000e-02 4.300000e-03
16 2.590000e-02 5.200000e-03
15 3.150000e-02 8.100000e-03
1000 1.000000e-04 2.070000e-01
100 3.300000e-03 9.810000e-02
65 5.700000e-03 1.456000e-01
50 9.100000e-03 1.317000e-01
40 1.090000e-02 1.324000e-01
30 1.350000e-02 4.700000e-03
26 1.700000e-02 5.900000e-03
23 1.780000e-02 2.090000e-02
20 2.220000e-02 4.900000e-03
18 2.630000e-02 7.000000e-03
17 2.780000e-02 5.500000e-03
16 3.000000e-02 3.300000e-03
15 3.400000e-02 4.300000e-03
1000 0.000000e+00 2.104000e-01
100 3.400000e-03 1.503000e-01
65 6.300000e-03 1.192000e-01
50 9.200000e-03 5.420000e-02
40 8.800000e-03 1.081000e-01
30 1.210000e-02 1.590000e-02
26 1.880000e-02 4.000000e-02
23 2.110000e-02 2.500000e-03
20 2.300000e-02 6.700000e-03
18 2.170000e-02 6.200000e-03
17 2.660000e-02 3.900000e-03
16 2.770000e-02 4.100000e-03
15 3.060000e-02 6.700000e-03
1000 2.000000e-04 2.103000e-01
100 3.200000e-03 1.449000e-01
65 5.400000e-03 9.830000e-02
50 7.600000e-03 9.820000e-02
40 1.140000e-02 5.770000e-02
30 1.280000e-02 6.110000e-02
26 1.740000e-02 8.000000e-03
23 1.840000e-02 5.130000e-02
20 2.260000e-02 3.620000e-02
18 2.470000e-02 1.270000e-02
17 2.780000e-02 7.300000e-03
16 2.760000e-02 2.800000e-03
15 3.350000e-02 3.900000e-03
1000 1.000000e-04 1.949000e-01
100 3.000000e-03 1.641000e-01
65 6.700000e-03 2.760000e-02
50 8.500000e-03 9.970000e-02
40 9.200000e-03 6.480000e-02
30 1.280000e-02 8.830000e-02
26 1.510000e-02 1.240000e-02
23 1.940000e-02 5.100000e-03
20 2.110000e-02 3.710000e-02
18 2.670000e-02 4.400000e-03
17 2.710000e-02 2.540000e-02
16 2.940000e-02 3.500000e-03
15 3.000000e-02 3.600000e-03
1000 3.000000e-04 1.927000e-01
100 2.800000e-03 1.534000e-01
65 5.300000e-03 5.340000e-02
50 7.400000e-03 7.870000e-02
40 1.130000e-02 2.390000e-02
30 1.420000e-02 7.940000e-02
26 1.670000e-02 2.300000e-03
23 1.960000e-02 3.760000e-02
20 2.220000e-02 5.800000e-03
