# k_av S_color
1.000000e+00 0.000000e+00
1.100000e+00 2.740188e-119
1.200000e+00 1.237495e-03
1.300000e+00 2.045176e-02
1.400000e+00 6.533131e-02
1.500000e+00 1.296410e-01
1.600000e+00 1.751342e-01
1.700000e+00 2.386544e-01
1.800000e+00 3.028059e-01
1.900000e+00 3.634661e-01
2.000000e+00 3.815164e-01
2.100000e+00 4.354197e-01
2.200000e+00 4.911529e-01
2.300000e+00 5.334390e-01
2.400000e+00 5.569445e-01
2.500000e+00 6.041180e-01
2.600000e+00 6.181554e-01
2.700000e+00 6.592203e-01
2.800000e+00 7.043079e-01
2.900000e+00 6.826913e-01
3.000000e+00 7.368064e-01
3.100000e+00 7.545662e-01
3.200000e+00 7.842531e-01
3.300000e+00 7.962708e-01
3.400000e+00 8.038517e-01
3.500000e+00 8.186440e-01
3.600000e+00 8.353667e-01
3.700000e+00 8.492919e-01
3.800000e+00 8.519297e-01
3.900000e+00 8.574117e-01
4.000000e+00 8.810728e-01
4.100000e+00 8.949257e-01
4.200000e+00 8.982205e-01
4.300000e+00 9.103490e-01
4.400000e+00 9.167309e-01
4.500000e+00 9.131936e-01
4.600000e+00 9.248732e-01
4.700000e+00 9.341465e-01
4.800000e+00 9.371629e-01
4.900000e+00 9.459990e-01
5.000000e+00 9.445426e-01
5.100000e+00 9.548825e-01
5.200000e+00 9.526129e-01
5.300000e+00 9.591295e-01
5.400000e+00 9.627405e-01
5.500000e+00 9.615134e-01
5.600000e+00 9.690750e-01
5.700000e+00 9.728697e-01
5.800000e+00 9.715799e-01
5.900000e+00 9.760609e-01
6.000000e+00 9.743823e-01
6.100000e+00 9.792417e-01
6.200000e+00 9.805123e-01
6.300000e+00 9.823883e-01
6.400000e+00 9.838417e-01
6.500000e+00 9.850083e-01
6.600000e+00 9.845338e-01
6.700000e+00 9.885042e-01
6.800000e+00 9.896938e-01
6.900000e+00 9.899829e-01
7.000000e+00 9.906367e-01
7.100000e+00 9.906964e-01
7.200000e+00 9.906272e-01
7.300000e+00 9.915803e-01
7.400000e+00 9.928276e-01
7.500000e+00 9.937170e-01
7.600000e+00 9.946589e-01
7.700000e+00 9.948332e-01
7.800000e+00 9.949812e-01
7.900000e+00 9.951510e-01
8.000000e+00 9.955015e-01
8.100000e+00 9.958637e-01
8.200000e+00 9.957595e-01
8.300000e+00 9.963970e-01
8.400000e+00 9.969282e-01
8.500000e+00 9.971921e-01
8.600000e+00 9.977506e-01
8.700000e+00 9.976298e-01
8.800000e+00 9.973919e-01
8.900000e+00 9.978400e-01
9.000000e+00 9.979637e-01
9.100000e+00 9.981749e-01
9.200000e+00 9.985367e-01
9.300000e+00 9.988194e-01
9.400000e+00 9.981651e-01
9.500000e+00 9.989370e-01
9.600000e+00 9.989689e-01
9.700000e+00 9.991349e-01
9.800000e+00 9.991270e-01
9.900000e+00 9.992558e-01
1.000000e+01 9.991747e-01
1.000000e+00 0.000000e+00
1.100000e+00 9.342363e-120
1.200000e+00 1.478196e-03
1.300000e+00 2.152053e-02
1.400000e+00 6.933074e-02
1.500000e+00 1.156394e-01
1.600000e+00 1.683287e-01
1.700000e+00 2.149493e-01
1.800000e+00 2.821080e-01
1.900000e+00 3.467293e-01
2.000000e+00 3.965811e-01
2.100000e+00 4.195076e-01
2.200000e+00 4.874740e-01
2.300000e+00 5.025997e-01
2.400000e+00 5.493663e-01
2.500000e+00 5.965659e-01
2.600000e+00 6.411520e-01
2.700000e+00 6.438098e-01
2.800000e+00 6.797512e-01
2.900000e+00 7.051612e-01
3.000000e+00 7.192292e-01
3.100000e+00 7.546247e-01
3.200000e+00 7.832208e-01
3.300000e+00 7.720430e-01
3.400000e+00 8.039827e-01
3.500000e+00 8.126737e-01
3.600000e+00 8.353724e-01
3.700000e+00 8.551631e-01
3.800000e+00 8.699352e-01
3.900000e+00 8.583779e-01
4.000000e+00 8.768005e-01
4.100000e+00 8.837069e-01
4.200000e+00 9.013131e-01
4.300000e+00 9.014523e-01
4.400000e+00 9.167858e-01
4.500000e+00 9.140044e-01
4.600000e+00 9.323437e-01
4.700000e+00 9.367993e-01
4.800000e+00 9.396092e-01
4.900000e+00 9.422522e-01
5.000000e+00 9.470612e-01
5.100000e+00 9.518602e-01
5.200000e+00 9.537067e-01
5.300000e+00 9.595468e-01
5.400000e+00 9.597692e-01
5.500000e+00 9.648946e-01
5.600000e+00 9.679488e-01
5.700000e+00 9.706895e-01
5.800000e+00 9.695143e-01
5.900000e+00 9.741786e-01
6.000000e+00 9.775037e-01
6.100000e+00 9.801287e-01
6.200000e+00 9.765537e-01
6.300000e+00 9.831609e-01
6.400000e+00 9.829086e-01
6.500000e+00 9.847383e-01
6.600000e+00 9.883725e-01
6.700000e+00 9.879498e-01
6.800000e+00 9.868961e-01
