# k_step gamma S_color
50 7.967823e-03 9.394505e-02
40 1.021266e-02 7.505402e-02
30 1.407895e-02 3.003311e-02
26 1.652586e-02 -1.209476e-13
23 1.896440e-02 1.308863e-15
20 2.219599e-02 -1.346780e-15
18 2.500024e-02 -4.191680e-16
17 2.667084e-02 -4.220506e-16
16 2.856826e-02 4.391188e-16
15 3.074108e-02 -4.644198e-16
1000 2.921873e-04 1.873116e-01
100 3.696688e-03 1.209905e-01
65 5.955205e-03 1.108026e-01
50 7.967823e-03 9.671599e-02
40 1.021266e-02 7.540835e-02
30 1.407895e-02 3.166186e-02
26 1.652586e-02 -1.159218e-13
23 1.896440e-02 1.359451e-15
20 2.219599e-02 -1.355957e-15
18 2.500024e-02 -4.257599e-16
17 2.667084e-02 -4.105890e-16
16 2.856826e-02 4.691450e-16
15 3.074108e-02 -4.608439e-16
1000 2.921873e-04 1.752343e-01
100 3.696688e-03 1.319612e-01
65 5.955205e-03 1.072798e-01
50 7.967823e-03 9.197693e-02
40 1.021266e-02 7.713486e-02
30 1.407895e-02 3.066388e-02
26 1.652586e-02 -1.176744e-13
23 1.896440e-02 1.318163e-15
20 2.219599e-02 -1.474908e-15
18 2.500024e-02 -4.079977e-16
17 2.667084e-02 -4.109008e-16
16 2.856826e-02 4.639236e-16
15 3.074108e-02 -4.556741e-16
1000 2.921873e-04 1.890673e-01
100 3.696688e-03 1.283731e-01
65 5.955205e-03 1.165593e-01
50 7.967823e-03 9.294996e-02
40 1.021266e-02 7.532270e-02
30 1.407895e-02 3.085414e-02
26 1.652586e-02 -1.161445e-13
23 1.896440e-02 1.376310e-15
20 2.219599e-02 -1.467002e-15
18 2.500024e-02 -4.155787e-16
17 2.667084e-02 -4.063624e-16
16 2.856826e-02 4.557721e-16
15 3.074108e-02 -4.639357e-16
1000 2.921873e-04 1.822483e-01
100 3.696688e-03 1.253519e-01
