# k_step gamma S_color
12 1.960000e-02 8.834000e-01
11 3.980000e-02 8.747000e-01
10 8.180000e-02 8.578000e-01
9 1.521000e-01 7.974000e-01
8 2.610000e-01 5.882000e-01
7 3.963000e-01 3.030000e-02
6 5.589000e-01 3.400000e-03
15 6.000000e-04 8.889000e-01
12 1.850000e-02 8.844000e-01
11 4.410000e-02 8.764000e-01
10 8.830000e-02 8.558000e-01
9 1.545000e-01 8.015000e-01
8 2.574000e-01 5.927000e-01
7 3.911000e-01 2.470000e-02
6 5.476000e-01 3.800000e-03
15 1.300000e-03 8.853000e-01
12 2.060000e-02 8.844000e-01
11 4.260000e-02 8.749000e-01
10 8.550000e-02 8.614000e-01
9 1.512000e-01 7.870000e-01
8 2.627000e-01 5.574000e-01
7 3.881000e-01 1.110000e-02
6 5.534000e-01 2.900000e-03
15 8.000000e-04 8.823000e-01
12 2.170000e-02 8.782000e-01
11 4.310000e-02 8.810000e-01
10 8.290000e-02 8.605000e-01
9 1.562000e-01 8.074000e-01
8 2.570000e-01 5.963000e-01
7 3.846000e-01 1.950000e-02
6 5.530000e-01 2.500000e-03
15 1.200000e-03 8.907000e-01
12 2.310000e-02 8.885000e-01
11 4.460000e-02 8.826000e-01
10 8.460000e-02 8.639000e-01
9 1.554000e-01 8.075000e-01
8 2.581000e-01 5.606000e-01
7 3.910000e-01 3.000000e-02
6 5.598000e-01 4.200000e-03
15 1.900000e-03 8.825000e-01
12 1.840000e-02 8.810000e-01
11 4.120000e-02 8.760000e-01
10 7.780000e-02 8.636000e-01
9 1.524000e-01 8.164000e-01
8 2.601000e-01 6.253000e-01
7 3.896000e-01 1.430000e-02
6 5.504000e-01 4.600000e-03
15 1.700000e-03 8.858000e-01
12 2.010000e-02 8.815000e-01
11 4.370000e-02 8.890000e-01
10 8.610000e-02 8.654000e-01
9 1.531000e-01 8.043000e-01
8 2.512000e-01 6.216000e-01
7 3.912000e-01 2.320000e-02
6 5.441000e-01 3.400000e-03
15 1.600000e-03 8.862000e-01
12 2.040000e-02 8.800000e-01
11 3.980000e-02 8.808000e-01
10 8.070000e-02 8.589000e-01
9 1.514000e-01 8.097000e-01
8 2.597000e-01 5.753000e-01
7 3.863000e-01 3.420000e-02
6 5.636000e-01 3.500000e-03
15 1.200000e-03 8.831000e-01
12 2.150000e-02 8.829000e-01
11 4.300000e-02 8.766000e-01
10 8.830000e-02 8.591000e-01
9 1.511000e-01 8.007000e-01
8 2.471000e-01 6.206000e-01
7 3.913000e-01 2.010000e-02
6 5.540000e-01 3.500000e-03
15 1.500000e-03 8.881000e-01
12 2.140000e-02 8.864000e-01
11 4.460000e-02 8.769000e-01
10 8.540000e-02 8.557000e-01
9 1.476000e-01 8.131000e-01
8 2.508000e-01 6.399000e-01
7 3.897000e-01 3.010000e-02
6 5.593000e-01 3.800000e-03
