# k_step gamma S_color
1000 1.150000e-04 1.253750e-01
100 1.245000e-03 1.098500e-01
65 2.455000e-03 9.879000e-02
50 3.305000e-03 8.981500e-02
40 4.420000e-03 8.490000e-02
30 6.540000e-03 7.311500e-02
26 7.725000e-03 4.412500e-02
23 9.325000e-03 4.149000e-02
20 1.158500e-02 2.502000e-02
18 1.307000e-02 3.005000e-03
17 1.438000e-02 2.480000e-03
16 1.510000e-02 1.300000e-03
15 1.655000e-02 2.160000e-03
1000 9.500000e-05 1.246950e-01
100 1.310000e-03 1.079700e-01
65 2.460000e-03 9.509000e-02
50 3.215000e-03 9.069000e-02
40 4.505000e-03 8.049000e-02
30 6.490000e-03 6.392000e-02
26 7.720000e-03 5.089000e-02
23 9.280000e-03 3.639000e-02
20 1.151000e-02 1.245000e-02
18 1.264500e-02 2.305000e-03
17 1.437000e-02 2.605000e-03
16 1.521500e-02 2.650000e-03
15 1.675500e-02 1.385000e-03
1000 7.500000e-05 1.250700e-01
100 1.340000e-03 1.011000e-01
65 2.360000e-03 9.801500e-02
50 3.425000e-03 8.737500e-02
40 4.635000e-03 8.530500e-02
30 6.700000e-03 7.250500e-02
26 8.030000e-03 5.021500e-02
23 9.085000e-03 3.773000e-02
20 1.195000e-02 1.698500e-02
18 1.322500e-02 6.395000e-03
17 1.402000e-02 1.930000e-03
16 1.549000e-02 9.550000e-04
15 1.656500e-02 9.600000e-04
1000 6.500000e-05 1.234950e-01
100 1.470000e-03 1.087250e-01
65 2.290000e-03 9.855500e-02
50 3.315000e-03 9.133500e-02
40 4.450000e-03 8.325000e-02
30 6.525000e-03 6.845500e-02
26 7.840000e-03 5.571500e-02
23 9.615000e-03 4.057000e-02
20 1.128000e-02 6.100000e-03
18 1.293500e-02 1.505000e-03
17 1.401500e-02 2.575000e-03
16 1.542500e-02 1.175000e-03
15 1.652500e-02 8.900000e-04
1000 4.500000e-05 1.243700e-01
100 1.490000e-03 1.062150e-01
65 2.345000e-03 9.807000e-02
50 3.375000e-03 8.827500e-02
40 4.520000e-03 8.377500e-02
30 6.575000e-03 7.107500e-02
26 8.125000e-03 4.464500e-02
23 9.125000e-03 6.271000e-02
20 1.107500e-02 5.450000e-03
18 1.315500e-02 2.335000e-03
17 1.439500e-02 8.975000e-03
16 1.510000e-02 7.550000e-04
15 1.690000e-02 1.795500e-02
1000 7.000000e-05 1.256900e-01
100 1.500000e-03 1.065100e-01
65 2.650000e-03 8.578500e-02
50 3.205000e-03 9.663500e-02
40 4.200000e-03 8.358500e-02
30 6.580000e-03 7.041000e-02
26 8.020000e-03 6.263500e-02
23 9.455000e-03 4.110000e-02
20 1.139500e-02 2.105000e-02
18 1.278000e-02 3.690000e-03
17 1.392000e-02 1.695000e-03
16 1.513500e-02 1.015000e-03
15 1.690000e-02 8.100000e-04
1000 7.000000e-05 1.237250e-01
100 1.315000e-03 1.075950e-01
65 2.310000e-03 1.051750e-01
50 3.365000e-03 9.310500e-02
40 4.475000e-03 8.528000e-02
30 6.470000e-03 6.439000e-02
26 7.915000e-03 8.985000e-03
23 9.580000e-03 3.164500e-02
20 1.152000e-02 1.379500e-02
18 1.325500e-02 2.810000e-03
17 1.440000e-02 9.650000e-03
16 1.474500e-02 1.590000e-03
15 1.634500e-02 8.200000e-04
1000 5.000000e-05 1.206600e-01
100 1.245000e-03 1.071150e-01
65 2.280000e-03 9.705000e-02
50 3.180000e-03 9.327000e-02
40 4.525000e-03 8.364000e-02
30 6.565000e-03 6.131000e-02
26 7.745000e-03 5.270000e-02
23 9.530000e-03 4.353000e-02
20 1.156500e-02 1.101500e-02
18 1.298500e-02 1.185000e-03
17 1.431000e-02 3.790000e-03
16 1.523000e-02 1.735000e-03
15 1.628000e-02 1.465000e-03
1000 5.500000e-05 1.240300e-01
100 1.410000e-03 1.080600e-01
65 2.430000e-03 9.880000e-02
50 3.430000e-03 8.685000e-02
40 4.595000e-03 8.160500e-02
30 6.800000e-03 6.419500e-02
26 8.365000e-03 5.487500e-02
23 9.530000e-03 4.860500e-02
20 1.187000e-02 2.874500e-02
18 1.311000e-02 1.693500e-02
17 1.415000e-02 1.545000e-03
16 1.527000e-02 2.665000e-03
15 1.665000e-02 9.050000e-04
1000 5.500000e-05 1.231200e-01
100 1.395000e-03 9.500000e-02
65 2.475000e-03 9.681500e-02
50 3.205000e-03 9.212000e-02
40 4.645000e-03 8.491500e-02
30 6.625000e-03 8.330000e-02
26 7.700000e-03 6.038500e-02
23 9.210000e-03 4.711000e-02
20 1.116000e-02 1.051000e-02
18 1.254000e-02 7.100000e-03
17 1.369500e-02 5.525000e-03
16 1.535500e-02 1.075000e-03
15 1.625500e-02 7.450000e-04
1000 8.000000e-05 1.256450e-01
100 1.520000e-03 1.041250e-01
65 2.155000e-03 7.566000e-02
50 3.280000e-03 1.021300e-01
40 4.555000e-03 8.401500e-02
30 6.245000e-03 6.569000e-02
26 8.080000e-03 5.586500e-02
23 9.225000e-03 2.863000e-02
20 1.098000e-02 2.815000e-03
18 1.301500e-02 1.010000e-02
17 1.364000e-02 6.825000e-03
16 1.483500e-02 1.000000e-03
15 1.627500e-02 1.205000e-03
1000 7.000000e-05 1.183000e-01
100 1.185000e-03 1.077450e-01
65 2.480000e-03 1.003000e-01
50 3.630000e-03 9.065500e-02
40 4.345000e-03 8.125000e-02
30 6.550000e-03 6.149000e-02
26 8.155000e-03 5.612500e-02
23 9.330000e-03 4.892000e-02
20 1.116000e-02 3.133500e-02
18 1.356000e-02 6.995000e-03
17 1.383500e-02 2.605000e-03
16 1.533000e-02 1.940000e-03
15 1.735000e-02 9.650000e-04
1000 6.500000e-05 1.242000e-01
100 1.355000e-03 1.047850e-01
65 2.290000e-03 9.595500e-02
50 3.465000e-03 8.822500e-02
40 4.785000e-03 8.250500e-02
30 6.440000e-03 7.035000e-02
26 7.780000e-03 4.694000e-02
23 9.450000e-03 4.290000e-02
20 1.154500e-02 2.150500e-02
18 1.317000e-02 5.530000e-03
17 1.403000e-02 3.280000e-03
16 1.542500e-02 2.675000e-03
15 1.652000e-02 1.135000e-03
1000 8.500000e-05 1.228400e-01
100 1.390000e-03 1.076100e-01
65 2.515000e-03 1.043900e-01
50 3.540000e-03 8.094000e-02
40 4.845000e-03 8.365500e-02
30 6.465000e-03 6.494500e-02
26 8.315000e-03 6.126500e-02
23 9.535000e-03 4.622500e-02
20 1.127500e-02 2.168500e-02
18 1.305500e-02 9.370000e-03
17 1.449000e-02 3.285000e-03
16 1.481500e-02 2.060000e-03
15 1.666500e-02 1.255000e-03
1000 1.250000e-04 1.100450e-01
100 1.275000e-03 1.047250e-01
65 2.465000e-03 9.802000e-02
50 3.355000e-03 9.491500e-02
40 4.460000e-03 7.516000e-02
30 6.740000e-03 6.171000e-02
26 7.975000e-03 5.635000e-02
23 9.500000e-03 3.678500e-02
20 1.112000e-02 9.350000e-03
18 1.305500e-02 6.005000e-03
17 1.437500e-02 2.790000e-03
16 1.525500e-02 1.295000e-03
15 1.645000e-02 1.025000e-03
1000 5.000000e-05 1.229350e-01
100 1.345000e-03 1.051350e-01
65 2.405000e-03 9.651000e-02
50 3.345000e-03 8.835500e-02
40 4.415000e-03 8.772000e-02
30 6.880000e-03 5.837000e-02
26 8.035000e-03 4.381500e-02
23 9.515000e-03 3.526000e-02
20 1.124000e-02 2.816000e-02
18 1.322000e-02 3.250000e-03
17 1.413000e-02 3.400000e-03
16 1.507500e-02 1.175000e-03
15 1.659000e-02 2.435000e-03
1000 7.500000e-05 1.251700e-01
100 1.180000e-03 1.078550e-01
65 2.315000e-03 1.003500e-01
50 3.365000e-03 9.460000e-02
40 4.415000e-03 8.181500e-02
30 6.305000e-03 7.283500e-02
26 7.995000e-03 6.090000e-02
23 9.655000e-03 4.593000e-02
20 1.106500e-02 1.590500e-02
18 1.273500e-02 2.495000e-03
17 1.410000e-02 1.880000e-03
16 1.493500e-02 1.305000e-03
15 1.690000e-02 1.245000e-03
1000 6.500000e-05 1.253200e-01
100 1.400000e-03 1.099600e-01
65 2.440000e-03 9.772500e-02
50 3.040000e-03 9.607000e-02
40 4.575000e-03 8.337000e-02
30 6.960000e-03 6.204000e-02
26 8.060000e-03 5.827000e-02
23 9.075000e-03 4.565000e-02
20 1.160500e-02 2.848500e-02
18 1.276000e-02 6.600000e-03
17 1.427500e-02 3.075000e-03
16 1.513000e-02 2.585000e-03
15 1.613000e-02 7.650000e-04
1000 8.000000e-05 1.221500e-01
100 1.555000e-03 1.158900e-01
65 2.355000e-03 9.643000e-02
50 3.265000e-03 8.366500e-02
40 4.270000e-03 8.351000e-02
30 6.470000e-03 6.851000e-02
26 7.875000e-03 4.870500e-02
23 9.600000e-03 3.625500e-02
20 1.117500e-02 2.315000e-02
18 1.288500e-02 2.625000e-03
17 1.447000e-02 2.315000e-03
16 1.525500e-02 3.915000e-03
15 1.693000e-02 1.170000e-03
1000 7.500000e-05 1.230100e-01
100 1.350000e-03 1.048200e-01
65 2.355000e-03 9.577500e-02
50 3.270000e-03 8.112000e-02
40 4.630000e-03 9.344500e-02
30 6.805000e-03 6.892000e-02
26 8.205000e-03 5.602500e-02
23 9.310000e-03 3.432000e-02
20 1.115000e-02 9.225000e-03
18 1.323500e-02 1.985000e-03
17 1.379000e-02 1.775000e-03
16 1.503500e-02 1.130000e-03
15 1.660000e-02 1.395000e-03
1000 5.000000e-05 1.271700e-01
100 1.290000e-03 1.068150e-01
65 2.155000e-03 9.397500e-02
50 3.660000e-03 8.373500e-02
40 4.665000e-03 8.260000e-02
30 6.620000e-03 6.164000e-02
26 8.055000e-03 5.154500e-02
23 9.715000e-03 3.263500e-02
20 1.118000e-02 3.371000e-02
