# k_step gamma S_color
1000 3.364852e-04 3.019380e-01
100 3.963651e-03 1.852520e-01
65 6.214978e-03 1.584593e-01
50 8.174455e-03 1.457766e-01
40 1.032330e-02 1.162761e-01
30 1.395745e-02 7.479882e-02
26 1.622359e-02 3.628273e-02
23 1.846088e-02 -8.564689e-14
20 2.139816e-02 -5.917121e-15
18 2.392498e-02 2.528336e-15
17 2.542167e-02 -1.489014e-15
16 2.711441e-02 7.780869e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.926708e-01
100 3.963651e-03 2.021531e-01
65 6.214978e-03 1.721588e-01
50 8.174455e-03 1.451216e-01
40 1.032330e-02 1.230237e-01
30 1.395745e-02 7.419400e-02
26 1.622359e-02 3.651668e-02
23 1.846088e-02 -1.004690e-13
20 2.139816e-02 -6.272848e-15
18 2.392498e-02 2.814744e-15
17 2.542167e-02 -1.538818e-15
16 2.711441e-02 7.821034e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.807795e-01
100 3.963651e-03 1.951119e-01
65 6.214978e-03 2.009984e-01
50 8.174455e-03 1.561726e-01
40 1.032330e-02 1.199635e-01
30 1.395745e-02 7.431947e-02
26 1.622359e-02 3.251804e-02
23 1.846088e-02 -8.567537e-14
20 2.139816e-02 -6.123705e-15
18 2.392498e-02 2.646482e-15
17 2.542167e-02 -1.482425e-15
16 2.711441e-02 7.426555e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.744104e-01
100 3.963651e-03 1.908861e-01
65 6.214978e-03 1.832310e-01
50 8.174455e-03 1.476282e-01
40 1.032330e-02 1.380938e-01
30 1.395745e-02 7.559875e-02
26 1.622359e-02 3.661962e-02
23 1.846088e-02 -9.797408e-14
20 2.139816e-02 -5.939767e-15
18 2.392498e-02 2.835610e-15
17 2.542167e-02 -1.476273e-15
16 2.711441e-02 7.689556e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.997222e-01
100 3.963651e-03 2.067818e-01
65 6.214978e-03 1.706052e-01
50 8.174455e-03 1.473176e-01
40 1.032330e-02 1.291606e-01
30 1.395745e-02 7.470120e-02
26 1.622359e-02 3.215187e-02
23 1.846088e-02 -8.580072e-14
20 2.139816e-02 -5.874247e-15
18 2.392498e-02 2.689341e-15
17 2.542167e-02 -1.586207e-15
16 2.711441e-02 7.312339e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.729711e-01
100 3.963651e-03 2.073406e-01
65 6.214978e-03 1.751156e-01
50 8.174455e-03 1.470249e-01
40 1.032330e-02 1.211805e-01
30 1.395745e-02 7.292165e-02
26 1.622359e-02 3.417177e-02
23 1.846088e-02 -9.425423e-14
20 2.139816e-02 -6.733656e-15
18 2.392498e-02 2.514946e-15
17 2.542167e-02 -1.534698e-15
16 2.711441e-02 8.357699e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.694411e-01
100 3.963651e-03 2.049891e-01
65 6.214978e-03 1.726955e-01
50 8.174455e-03 1.822847e-01
40 1.032330e-02 1.227138e-01
30 1.395745e-02 7.631120e-02
26 1.622359e-02 3.280439e-02
23 1.846088e-02 -9.269692e-14
20 2.139816e-02 -6.221458e-15
18 2.392498e-02 2.489670e-15
17 2.542167e-02 -1.574971e-15
16 2.711441e-02 7.885655e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.670256e-01
100 3.963651e-03 2.132650e-01
65 6.214978e-03 1.687941e-01
50 8.174455e-03 1.478296e-01
40 1.032330e-02 1.341675e-01
30 1.395745e-02 7.575438e-02
26 1.622359e-02 3.496994e-02
23 1.846088e-02 -8.516076e-14
20 2.139816e-02 -6.199477e-15
18 2.392498e-02 2.672060e-15
17 2.542167e-02 -1.508942e-15
16 2.711441e-02 8.032512e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.787526e-01
100 3.963651e-03 2.105246e-01
65 6.214978e-03 1.734758e-01
50 8.174455e-03 1.361505e-01
40 1.032330e-02 1.215061e-01
30 1.395745e-02 7.907049e-02
26 1.622359e-02 3.735017e-02
23 1.846088e-02 -9.054119e-14
20 2.139816e-02 -6.201335e-15
18 2.392498e-02 2.508688e-15
17 2.542167e-02 -1.586761e-15
16 2.711441e-02 7.917743e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.778061e-01
100 3.963651e-03 2.144445e-01
65 6.214978e-03 1.767912e-01
50 8.174455e-03 1.459921e-01
40 1.032330e-02 1.410838e-01
30 1.395745e-02 7.647159e-02
26 1.622359e-02 4.007515e-02
23 1.846088e-02 -8.661990e-14
20 2.139816e-02 -5.797116e-15
18 2.392498e-02 2.577960e-15
17 2.542167e-02 -1.573048e-15
16 2.711441e-02 7.102249e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.668973e-01
100 3.963651e-03 2.018777e-01
65 6.214978e-03 1.976404e-01
50 8.174455e-03 1.509351e-01
40 1.032330e-02 1.213344e-01
30 1.395745e-02 7.080554e-02
26 1.622359e-02 3.740641e-02
23 1.846088e-02 -9.286981e-14
20 2.139816e-02 -6.214648e-15
18 2.392498e-02 2.729850e-15
17 2.542167e-02 -1.482877e-15
16 2.711441e-02 8.162328e-16
15 2.904415e-02 0.000000e+00
1000 3.364852e-04 2.832663e-01
100 3.963651e-03 1.917485e-01
