# k_av S_color
1.333333e+00 7.061073e-21
1.388889e+00 5.711355e-04
1.444444e+00 5.236811e-03
1.500000e+00 1.276666e-02
1.555556e+00 3.110576e-02
1.611111e+00 5.167996e-02
1.666667e+00 8.194912e-02
1.722222e+00 1.029873e-01
1.777778e+00 1.298794e-01
1.833333e+00 1.653916e-01
1.333333e+00 5.528444e-21
1.388889e+00 5.263615e-04
1.444444e+00 3.919314e-03
1.500000e+00 1.704902e-02
1.555556e+00 2.887335e-02
1.611111e+00 5.406958e-02
1.666667e+00 7.645529e-02
1.722222e+00 1.058251e-01
1.777778e+00 1.404560e-01
1.833333e+00 1.654490e-01
1.333333e+00 5.410555e-21
1.388889e+00 5.731081e-04
1.444444e+00 5.159397e-03
1.500000e+00 1.386808e-02
1.555556e+00 3.198223e-02
1.611111e+00 4.775158e-02
1.666667e+00 7.164837e-02
1.722222e+00 9.388476e-02
1.777778e+00 1.234548e-01
1.833333e+00 1.477409e-01
1.333333e+00 5.425586e-21
1.388889e+00 6.060106e-04
1.444444e+00 5.438603e-03
1.500000e+00 1.544004e-02
1.555556e+00 3.459937e-02
1.611111e+00 5.114965e-02
1.666667e+00 8.258105e-02
1.722222e+00 1.040496e-01
1.777778e+00 1.297791e-01
1.833333e+00 1.452127e-01
1.333333e+00 5.603655e-21
1.388889e+00 5.409602e-04
1.444444e+00 4.769410e-03
1.500000e+00 1.276051e-02
1.555556e+00 3.047946e-02
1.611111e+00 5.109577e-02
1.666667e+00 6.776018e-02
1.722222e+00 1.084379e-01
1.777778e+00 1.277215e-01
1.833333e+00 1.531976e-01
1.333333e+00 5.025059e-21
1.388889e+00 5.600543e-04
1.444444e+00 4.970869e-03
1.500000e+00 1.428035e-02
1.555556e+00 3.114123e-02
1.611111e+00 5.266385e-02
1.666667e+00 7.767732e-02
1.722222e+00 1.016238e-01
1.777778e+00 1.299466e-01
1.833333e+00 1.648813e-01
1.333333e+00 5.167353e-21
1.388889e+00 5.973009e-04
1.444444e+00 5.306853e-03
1.500000e+00 1.533542e-02
1.555556e+00 2.958420e-02
1.611111e+00 5.116636e-02
1.666667e+00 8.075983e-02
1.722222e+00 9.854807e-02
1.777778e+00 1.279682e-01
1.833333e+00 1.528778e-01
1.333333e+00 5.439511e-21
1.388889e+00 5.684206e-04
1.444444e+00 4.849330e-03
1.500000e+00 1.509691e-02
1.555556e+00 2.887365e-02
1.611111e+00 5.310617e-02
1.666667e+00 7.426613e-02
1.722222e+00 1.052511e-01
1.777778e+00 1.305858e-01
1.833333e+00 1.608076e-01
1.333333e+00 5.059858e-21
1.388889e+00 5.608768e-04
1.444444e+00 5.372239e-03
1.500000e+00 1.401835e-02
1.555556e+00 2.997305e-02
1.611111e+00 5.208529e-02
1.666667e+00 7.389224e-02
1.722222e+00 9.801191e-02
1.777778e+00 1.315902e-01
1.833333e+00 1.536339e-01
1.333333e+00 5.987145e-21
1.388889e+00 4.895492e-04
1.444444e+00 4.752195e-03
1.500000e+00 1.443650e-02
1.555556e+00 3.412766e-02
1.611111e+00 5.227924e-02
1.666667e+00 7.634875e-02
1.722222e+00 1.083370e-01
1.777778e+00 1.378276e-01
1.833333e+00 1.544375e-01
1.333333e+00 4.621167e-21
1.388889e+00 5.413952e-04
1.444444e+00 4.802845e-03
1.500000e+00 1.514516e-02
1.555556e+00 3.138561e-02
1.611111e+00 5.322398e-02
1.666667e+00 8.329359e-02
1.722222e+00 1.072114e-01
1.777778e+00 1.316413e-01
1.833333e+00 1.663695e-01
1.333333e+00 5.373462e-21
1.388889e+00 4.620222e-04
1.444444e+00 5.091027e-03
1.500000e+00 1.625167e-02
1.555556e+00 3.095242e-02
1.611111e+00 5.659913e-02
1.666667e+00 8.241285e-02
1.722222e+00 9.747928e-02
