# k_step gamma S_color
1000 2.921873e-04 1.798635e-01
100 3.696688e-03 1.373904e-01
65 5.955205e-03 1.174814e-01
50 7.967823e-03 9.876031e-02
40 1.021266e-02 9.062025e-02
30 1.407895e-02 4.181544e-02
26 1.652586e-02 7.986337e-03
23 1.896440e-02 1.280720e-14
20 2.219599e-02 -8.526321e-16
18 2.500024e-02 -4.507637e-16
17 2.667084e-02 -4.263157e-16
16 2.856826e-02 0.000000e+00
15 3.074108e-02 0.000000e+00
1000 2.921873e-04 1.967416e-01
100 3.696688e-03 1.386569e-01
65 5.955205e-03 1.117664e-01
50 7.967823e-03 9.449253e-02
40 1.021266e-02 8.530067e-02
30 1.407895e-02 4.345618e-02
26 1.652586e-02 8.264192e-03
23 1.896440e-02 1.304813e-14
20 2.219599e-02 -9.095952e-16
18 2.500024e-02 -4.425812e-16
17 2.667084e-02 -4.420696e-16
16 2.856826e-02 0.000000e+00
15 3.074108e-02 0.000000e+00
1000 2.921873e-04 1.939335e-01
100 3.696688e-03 1.394273e-01
65 5.955205e-03 1.159822e-01
50 7.967823e-03 9.993535e-02
40 1.021266e-02 8.235115e-02
30 1.407895e-02 4.450604e-02
26 1.652586e-02 8.278330e-03
23 1.896440e-02 1.317623e-14
20 2.219599e-02 -9.123776e-16
18 2.500024e-02 -4.453054e-16
17 2.667084e-02 -4.357488e-16
16 2.856826e-02 0.000000e+00
15 3.074108e-02 0.000000e+00
1000 2.921873e-04 1.791462e-01
100 3.696688e-03 1.408075e-01
65 5.955205e-03 1.217405e-01
50 7.967823e-03 1.038798e-01
40 1.021266e-02 8.433738e-02
30 1.407895e-02 4.420655e-02
26 1.652586e-02 8.124262e-03
23 1.896440e-02 1.278246e-14
20 2.219599e-02 -8.968108e-16
18 2.500024e-02 -4.389366e-16
17 2.667084e-02 -4.222086e-16
16 2.856826e-02 0.000000e+00
15 3.074108e-02 0.000000e+00
1000 2.921873e-04 1.885057e-01
100 3.696688e-03 1.409558e-01
65 5.955205e-03 1.242432e-01
50 7.967823e-03 1.032030e-01
40 1.021266e-02 8.346061e-02
30 1.407895e-02 4.428958e-02
26 1.652586e-02 7.817698e-03
23 1.896440e-02 1.235349e-14
20 2.219599e-02 -8.805559e-16
