# k_step gamma S_color
26 1.515481e-02 8.244254e-02
23 1.815965e-02 3.235747e-02
20 2.085964e-02 9.351571e-14
18 2.325480e-02 1.370999e-15
17 2.473544e-02 -3.041122e-15
16 2.652092e-02 2.378285e-15
15 2.839350e-02 1.530106e-15
1000 2.612899e-04 2.925757e-01
100 3.353220e-03 2.139950e-01
65 5.704830e-03 2.078337e-01
50 7.011279e-03 1.920477e-01
40 9.188695e-03 1.583692e-01
30 1.289030e-02 1.188966e-01
26 1.515481e-02 8.137032e-02
23 1.815965e-02 3.277418e-02
20 2.085964e-02 9.510734e-14
18 2.325480e-02 1.271665e-15
17 2.473544e-02 -2.769135e-15
16 2.652092e-02 2.423019e-15
15 2.839350e-02 1.519527e-15
1000 2.612899e-04 2.904705e-01
100 3.353220e-03 2.120174e-01
65 5.704830e-03 1.722717e-01
50 7.011279e-03 1.681516e-01
40 9.188695e-03 1.571423e-01
30 1.289030e-02 1.037741e-01
26 1.515481e-02 8.811485e-02
23 1.815965e-02 3.227231e-02
20 2.085964e-02 9.041921e-14
18 2.325480e-02 1.308915e-15
17 2.473544e-02 -3.028425e-15
16 2.652092e-02 2.201560e-15
15 2.839350e-02 1.516400e-15
1000 2.612899e-04 2.711484e-01
100 3.353220e-03 2.214436e-01
65 5.704830e-03 1.899133e-01
50 7.011279e-03 1.618856e-01
40 9.188695e-03 1.579664e-01
30 1.289030e-02 1.130755e-01
26 1.515481e-02 7.623897e-02
23 1.815965e-02 3.204987e-02
20 2.085964e-02 8.957513e-14
18 2.325480e-02 1.311192e-15
17 2.473544e-02 -3.146037e-15
16 2.652092e-02 2.335936e-15
15 2.839350e-02 1.487196e-15
1000 2.612899e-04 2.586558e-01
100 3.353220e-03 2.145741e-01
65 5.704830e-03 2.044184e-01
50 7.011279e-03 1.779983e-01
40 9.188695e-03 1.634018e-01
30 1.289030e-02 1.187303e-01
26 1.515481e-02 8.351697e-02
23 1.815965e-02 3.305365e-02
20 2.085964e-02 8.786813e-14
18 2.325480e-02 1.299661e-15
17 2.473544e-02 -3.027014e-15
16 2.652092e-02 2.402653e-15
15 2.839350e-02 1.532186e-15
1000 2.612899e-04 2.930151e-01
100 3.353220e-03 1.958202e-01
65 5.704830e-03 1.897607e-01
50 7.011279e-03 1.720935e-01
40 9.188695e-03 1.592469e-01
30 1.289030e-02 1.131729e-01
26 1.515481e-02 8.278219e-02
23 1.815965e-02 3.201618e-02
20 2.085964e-02 9.365656e-14
18 2.325480e-02 1.303439e-15
17 2.473544e-02 -3.111362e-15
16 2.652092e-02 2.254326e-15
15 2.839350e-02 1.517660e-15
1000 2.612899e-04 2.961380e-01
100 3.353220e-03 2.190766e-01
65 5.704830e-03 1.821287e-01
50 7.011279e-03 1.703631e-01
40 9.188695e-03 1.539066e-01
30 1.289030e-02 1.165660e-01
26 1.515481e-02 8.371985e-02
23 1.815965e-02 3.110063e-02
20 2.085964e-02 9.047559e-14
18 2.325480e-02 1.296956e-15
17 2.473544e-02 -3.050040e-15
16 2.652092e-02 2.293721e-15
15 2.839350e-02 1.593349e-15
1000 2.612899e-04 2.706770e-01
100 3.353220e-03 2.022561e-01
65 5.704830e-03 1.844931e-01
50 7.011279e-03 1.710957e-01
40 9.188695e-03 1.570121e-01
30 1.289030e-02 1.083609e-01
26 1.515481e-02 8.074798e-02
23 1.815965e-02 3.085346e-02
20 2.085964e-02 8.827623e-14
18 2.325480e-02 1.258311e-15
17 2.473544e-02 -3.022696e-15
16 2.652092e-02 2.311736e-15
15 2.839350e-02 1.528338e-15
1000 2.612899e-04 2.937948e-01
100 3.353220e-03 2.196645e-01
65 5.704830e-03 1.844754e-01
50 7.011279e-03 1.897953e-01
40 9.188695e-03 1.678652e-01
30 1.289030e-02 1.165848e-01
26 1.515481e-02 8.638179e-02
23 1.815965e-02 3.158039e-02
20 2.085964e-02 9.517706e-14
