# k_step gamma S_color
1000 2.921873e-04 1.903916e-01
100 3.696688e-03 1.516381e-01
65 5.955205e-03 1.330049e-01
50 7.967823e-03 1.179110e-01
40 1.021266e-02 9.850354e-02
30 1.407895e-02 6.408636e-02
26 1.652586e-02 3.387505e-02
23 1.896440e-02 -9.808567e-14
20 2.219599e-02 5.106504e-15
18 2.500024e-02 4.295058e-16
17 2.667084e-02 -1.295608e-15
16 2.856826e-02 -4.454432e-16
15 3.074108e-02 -4.454427e-16
1000 2.921873e-04 1.931280e-01
100 3.696688e-03 1.510010e-01
65 5.955205e-03 1.227987e-01
50 7.967823e-03 1.186916e-01
40 1.021266e-02 9.595058e-02
30 1.407895e-02 6.105919e-02
26 1.652586e-02 3.305121e-02
23 1.896440e-02 -9.403718e-14
20 2.219599e-02 5.033968e-15
18 2.500024e-02 4.518180e-16
17 2.667084e-02 -1.297133e-15
16 2.856826e-02 -4.679379e-16
15 3.074108e-02 -4.412184e-16
1000 2.921873e-04 1.866241e-01
100 3.696688e-03 1.423468e-01
65 5.955205e-03 1.259614e-01
50 7.967823e-03 1.105176e-01
40 1.021266e-02 9.620505e-02
30 1.407895e-02 6.211024e-02
26 1.652586e-02 3.160457e-02
23 1.896440e-02 -9.842298e-14
20 2.219599e-02 5.181558e-15
18 2.500024e-02 4.401375e-16
17 2.667084e-02 -1.321512e-15
16 2.856826e-02 -4.662147e-16
15 3.074108e-02 -4.471665e-16
1000 2.921873e-04 2.081285e-01
100 3.696688e-03 1.448365e-01
65 5.955205e-03 1.225579e-01
50 7.967823e-03 1.121317e-01
40 1.021266e-02 9.907175e-02
30 1.407895e-02 6.171767e-02
26 1.652586e-02 3.188991e-02
23 1.896440e-02 -9.785573e-14
20 2.219599e-02 5.075309e-15
18 2.500024e-02 4.402344e-16
17 2.667084e-02 -1.291388e-15
16 2.856826e-02 -4.662105e-16
15 3.074108e-02 -4.522412e-16
1000 2.921873e-04 1.887447e-01
100 3.696688e-03 1.409003e-01
