# k_step gamma S_color
1000 1.400000e-04 1.292200e-01
100 1.160000e-03 1.081200e-01
65 2.680000e-03 9.790000e-02
50 3.500000e-03 9.684000e-02
40 4.680000e-03 8.954000e-02
30 6.520000e-03 4.440000e-02
26 8.080000e-03 5.992000e-02
23 9.540000e-03 4.994000e-02
20 1.134000e-02 8.300000e-03
18 1.192000e-02 1.944000e-02
17 1.438000e-02 4.652000e-02
16 1.608000e-02 9.720000e-03
15 1.610000e-02 4.300000e-03
1000 4.000000e-05 1.184000e-01
100 1.500000e-03 1.013200e-01
65 2.340000e-03 1.007400e-01
50 3.540000e-03 6.440000e-02
40 4.140000e-03 8.952000e-02
30 7.020000e-03 6.194000e-02
26 8.760000e-03 6.870000e-02
23 9.160000e-03 4.304000e-02
20 1.150000e-02 3.668000e-02
18 1.248000e-02 1.010000e-02
17 1.314000e-02 3.940000e-03
16 1.488000e-02 2.560000e-03
15 1.642000e-02 3.900000e-03
1000 4.000000e-05 1.235200e-01
100 1.240000e-03 1.016000e-01
65 2.220000e-03 9.596000e-02
50 3.280000e-03 7.678000e-02
40 4.380000e-03 7.974000e-02
30 6.380000e-03 6.300000e-02
26 7.600000e-03 6.866000e-02
23 9.640000e-03 4.632000e-02
20 1.152000e-02 3.660000e-02
18 1.310000e-02 1.292000e-02
17 1.434000e-02 6.760000e-03
16 1.666000e-02 3.840000e-03
15 1.674000e-02 2.280000e-03
1000 6.000000e-05 1.222400e-01
100 1.140000e-03 1.100600e-01
65 2.020000e-03 9.410000e-02
50 3.360000e-03 9.632000e-02
40 4.480000e-03 5.804000e-02
30 6.720000e-03 6.318000e-02
26 7.700000e-03 6.824000e-02
23 8.840000e-03 5.452000e-02
20 1.132000e-02 7.440000e-03
18 1.258000e-02 5.218000e-02
17 1.392000e-02 2.920000e-03
16 1.568000e-02 3.000000e-03
15 1.652000e-02 2.480000e-03
1000 4.000000e-05 1.184400e-01
100 1.360000e-03 1.132600e-01
65 2.300000e-03 1.057200e-01
50 3.140000e-03 9.340000e-02
40 4.440000e-03 9.174000e-02
30 5.940000e-03 8.326000e-02
26 7.960000e-03 5.406000e-02
23 9.380000e-03 4.620000e-02
20 1.140000e-02 5.840000e-02
18 1.380000e-02 1.168000e-02
17 1.398000e-02 4.080000e-03
16 1.524000e-02 2.300000e-03
15 1.714000e-02 3.620000e-03
1000 0.000000e+00 1.167000e-01
100 1.420000e-03 1.073000e-01
65 2.500000e-03 9.972000e-02
50 3.400000e-03 6.536000e-02
40 4.460000e-03 6.808000e-02
30 6.960000e-03 6.968000e-02
26 8.280000e-03 2.794000e-02
23 9.840000e-03 4.138000e-02
20 1.138000e-02 2.458000e-02
18 1.322000e-02 8.040000e-03
17 1.376000e-02 1.222000e-02
16 1.544000e-02 1.156000e-02
15 1.586000e-02 2.000000e-03
1000 6.000000e-05 1.270000e-01
100 1.520000e-03 9.648000e-02
65 2.060000e-03 1.030400e-01
50 3.360000e-03 9.452000e-02
40 4.520000e-03 3.022000e-02
30 7.160000e-03 5.246000e-02
26 7.760000e-03 5.700000e-02
23 9.540000e-03 2.078000e-02
20 1.116000e-02 1.788000e-02
18 1.258000e-02 1.498000e-02
17 1.412000e-02 5.640000e-03
16 1.596000e-02 2.000000e-03
15 1.726000e-02 1.720000e-03
1000 8.000000e-05 1.198400e-01
100 1.480000e-03 1.057200e-01
65 1.900000e-03 9.424000e-02
50 3.440000e-03 8.128000e-02
40 4.520000e-03 8.628000e-02
30 6.300000e-03 6.174000e-02
26 7.820000e-03 6.382000e-02
23 9.660000e-03 4.864000e-02
20 1.104000e-02 1.888000e-02
18 1.218000e-02 4.540000e-03
17 1.406000e-02 7.700000e-03
16 1.546000e-02 5.780000e-03
15 1.726000e-02 3.240000e-03
1000 4.000000e-05 1.223600e-01
100 1.320000e-03 1.044000e-01
65 2.280000e-03 9.960000e-02
50 3.240000e-03 9.336000e-02
40 4.260000e-03 8.108000e-02
30 6.740000e-03 6.656000e-02
26 8.000000e-03 5.298000e-02
23 9.400000e-03 4.274000e-02
20 1.128000e-02 4.780000e-03
18 1.346000e-02 5.400000e-03
17 1.400000e-02 8.280000e-03
16 1.504000e-02 3.660000e-03
15 1.712000e-02 1.576000e-02
1000 0.000000e+00 1.098200e-01
100 1.420000e-03 9.990000e-02
65 3.040000e-03 9.548000e-02
50 3.400000e-03 9.546000e-02
40 4.400000e-03 7.592000e-02
30 7.140000e-03 6.580000e-02
26 7.420000e-03 4.972000e-02
23 9.180000e-03 3.318000e-02
20 1.094000e-02 2.910000e-02
18 1.254000e-02 2.626000e-02
17 1.362000e-02 7.020000e-03
16 1.544000e-02 4.040000e-03
15 1.604000e-02 5.100000e-03
1000 0.000000e+00 1.165400e-01
100 1.020000e-03 1.101400e-01
