# k_step gamma S_color
1000 1.000000e-04 1.435000e-01
100 1.300000e-03 1.175000e-01
65 3.900000e-03 9.060000e-02
50 3.400000e-03 8.760000e-02
40 4.300000e-03 7.500000e-02
30 8.200000e-03 7.880000e-02
26 6.900000e-03 4.050000e-02
23 1.130000e-02 3.360000e-02
20 9.900000e-03 3.430000e-02
18 1.200000e-02 6.900000e-03
17 1.530000e-02 1.970000e-02
16 1.330000e-02 1.350000e-02
15 1.730000e-02 5.600000e-03
1000 1.000000e-04 1.306000e-01
100 9.000000e-04 1.071000e-01
65 2.100000e-03 1.063000e-01
50 3.400000e-03 9.530000e-02
40 4.800000e-03 8.360000e-02
30 6.500000e-03 2.340000e-02
26 9.300000e-03 5.660000e-02
23 9.300000e-03 5.420000e-02
20 1.150000e-02 4.040000e-02
18 1.420000e-02 2.310000e-02
17 1.470000e-02 7.500000e-03
16 1.380000e-02 3.630000e-02
15 1.660000e-02 6.700000e-03
1000 2.000000e-04 1.073000e-01
100 1.500000e-03 1.059000e-01
65 2.400000e-03 1.041000e-01
50 2.800000e-03 1.073000e-01
40 5.700000e-03 8.420000e-02
30 7.400000e-03 7.090000e-02
26 8.100000e-03 2.620000e-02
23 9.300000e-03 4.280000e-02
20 9.100000e-03 2.820000e-02
18 1.250000e-02 6.700000e-03
17 1.290000e-02 1.650000e-02
16 1.330000e-02 4.700000e-03
15 1.560000e-02 4.600000e-03
1000 2.000000e-04 1.372000e-01
100 8.000000e-04 1.064000e-01
65 1.900000e-03 9.920000e-02
50 2.700000e-03 9.330000e-02
40 4.800000e-03 3.790000e-02
30 6.100000e-03 6.990000e-02
26 6.500000e-03 6.460000e-02
23 9.900000e-03 4.750000e-02
20 1.200000e-02 2.420000e-02
18 1.230000e-02 2.540000e-02
17 1.560000e-02 1.390000e-02
16 1.520000e-02 5.400000e-03
15 1.440000e-02 5.600000e-03
1000 1.000000e-04 1.267000e-01
100 1.200000e-03 1.146000e-01
65 2.100000e-03 8.990000e-02
50 2.000000e-03 1.016000e-01
40 5.100000e-03 7.510000e-02
30 5.400000e-03 8.200000e-02
26 8.400000e-03 3.970000e-02
23 8.300000e-03 4.720000e-02
20 1.160000e-02 3.880000e-02
18 1.250000e-02 1.400000e-02
17 1.560000e-02 1.330000e-02
16 1.380000e-02 5.300000e-03
15 1.510000e-02 2.080000e-02
1000 1.000000e-04 1.639000e-01
100 2.000000e-03 1.072000e-01
65 2.000000e-03 1.010000e-01
50 2.800000e-03 7.610000e-02
40 4.000000e-03 4.370000e-02
30 6.600000e-03 6.660000e-02
26 7.400000e-03 7.460000e-02
23 1.010000e-02 4.050000e-02
20 1.230000e-02 1.970000e-02
18 1.360000e-02 9.000000e-03
17 1.410000e-02 1.280000e-02
16 1.420000e-02 1.860000e-02
15 1.630000e-02 6.200000e-03
1000 0.000000e+00 1.248000e-01
100 1.900000e-03 9.060000e-02
65 2.500000e-03 1.069000e-01
50 3.100000e-03 1.009000e-01
40 3.900000e-03 6.450000e-02
30 6.700000e-03 7.730000e-02
26 9.300000e-03 8.370000e-02
23 1.010000e-02 3.010000e-02
20 1.030000e-02 6.900000e-03
18 1.330000e-02 1.000000e-02
17 1.520000e-02 7.300000e-03
16 1.770000e-02 1.350000e-02
15 1.590000e-02 2.520000e-02
1000 2.000000e-04 1.100000e-01
100 1.400000e-03 1.140000e-01
65 2.400000e-03 9.710000e-02
50 2.800000e-03 8.460000e-02
40 4.800000e-03 8.570000e-02
30 7.000000e-03 6.280000e-02
26 7.900000e-03 6.100000e-02
23 1.110000e-02 1.830000e-02
20 1.170000e-02 3.810000e-02
18 1.260000e-02 2.870000e-02
17 1.630000e-02 1.200000e-02
16 1.550000e-02 1.300000e-02
15 1.740000e-02 1.710000e-02
1000 0.000000e+00 1.114000e-01
100 9.000000e-04 1.079000e-01
65 2.000000e-03 9.280000e-02
50 4.000000e-03 6.930000e-02
40 4.700000e-03 1.021000e-01
30 7.200000e-03 4.100000e-02
26 9.200000e-03 3.770000e-02
23 9.600000e-03 5.090000e-02
20 1.140000e-02 4.090000e-02
18 1.170000e-02 1.640000e-02
17 1.470000e-02 1.650000e-02
16 1.510000e-02 5.400000e-03
15 1.660000e-02 1.940000e-02
1000 2.000000e-04 1.429000e-01
100 1.700000e-03 1.035000e-01
65 1.500000e-03 1.094000e-01
50 2.700000e-03 9.220000e-02
40 5.100000e-03 9.710000e-02
30 6.100000e-03 8.400000e-02
26 6.800000e-03 7.910000e-02
23 9.300000e-03 2.180000e-02
20 1.150000e-02 3.030000e-02
18 1.190000e-02 2.030000e-02
