# k_step gamma S_color
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.867618e-01
12 2.009196e-02 8.822645e-01
11 4.262092e-02 8.888936e-01
10 8.392402e-02 8.665076e-01
9 1.527625e-01 7.954893e-01
8 2.560202e-01 5.992779e-01
7 3.936972e-01 -1.363991e-14
6 5.543204e-01 0.000000e+00
15 1.400354e-03 8.743185e-01
