# k_step gamma S_color
30 6.594110e-03 6.337710e-02
26 7.968958e-03 5.416357e-02
23 9.376545e-03 3.658859e-02
20 1.129275e-02 1.058231e-02
18 1.299754e-02 -4.186544e-14
17 1.403005e-02 1.517077e-15
16 1.521706e-02 -5.374646e-16
15 1.659402e-02 -2.420546e-16
1000 6.765023e-05 1.213289e-01
100 1.357724e-03 1.060594e-01
65 2.385318e-03 9.800752e-02
50 3.364946e-03 9.423442e-02
40 4.512072e-03 8.508873e-02
30 6.594110e-03 6.380183e-02
26 7.968958e-03 5.282174e-02
23 9.376545e-03 3.863982e-02
20 1.129275e-02 1.118957e-02
18 1.299754e-02 -4.151848e-14
17 1.403005e-02 1.603453e-15
16 1.521706e-02 -5.484407e-16
15 1.659402e-02 -2.531289e-16
1000 6.765023e-05 1.243989e-01
100 1.357724e-03 1.030361e-01
65 2.385318e-03 9.812799e-02
50 3.364946e-03 8.543652e-02
40 4.512072e-03 8.360941e-02
30 6.594110e-03 6.254994e-02
26 7.968958e-03 5.054489e-02
23 9.376545e-03 3.735773e-02
20 1.129275e-02 1.117006e-02
18 1.299754e-02 -4.285833e-14
17 1.403005e-02 1.649266e-15
16 1.521706e-02 -5.770758e-16
15 1.659402e-02 -2.554188e-16
1000 6.765023e-05 1.214179e-01
100 1.357724e-03 1.016407e-01
65 2.385318e-03 1.017651e-01
50 3.364946e-03 9.029244e-02
40 4.512072e-03 8.950497e-02
30 6.594110e-03 7.005323e-02
26 7.968958e-03 5.283734e-02
23 9.376545e-03 3.890785e-02
20 1.129275e-02 1.130499e-02
18 1.299754e-02 -4.242768e-14
17 1.403005e-02 1.482170e-15
16 1.521706e-02 -5.720262e-16
15 1.659402e-02 -2.420213e-16
1000 6.765023e-05 1.231464e-01
100 1.357724e-03 1.048117e-01
65 2.385318e-03 9.926943e-02
50 3.364946e-03 8.981306e-02
40 4.512072e-03 8.435771e-02
30 6.594110e-03 6.709571e-02
26 7.968958e-03 5.457153e-02
23 9.376545e-03 3.648025e-02
20 1.129275e-02 1.212087e-02
18 1.299754e-02 -4.003718e-14
17 1.403005e-02 1.487838e-15
16 1.521706e-02 -5.604057e-16
15 1.659402e-02 -2.547327e-16
1000 6.765023e-05 1.202569e-01
100 1.357724e-03 1.045226e-01
65 2.385318e-03 9.903239e-02
50 3.364946e-03 8.844930e-02
40 4.512072e-03 7.967870e-02
30 6.594110e-03 6.893505e-02
26 7.968958e-03 4.933165e-02
23 9.376545e-03 3.813571e-02
20 1.129275e-02 1.169674e-02
18 1.299754e-02 -4.337891e-14
17 1.403005e-02 1.533520e-15
