# k_av S_color
1.900000e+00 4.277623e-01
1.950000e+00 4.515869e-01
2.000000e+00 4.534332e-01
1.000000e+00 0.000000e+00
1.050000e+00 7.933146e-05
1.100000e+00 4.041178e-03
1.150000e+00 1.703243e-02
1.200000e+00 4.374763e-02
1.250000e+00 7.126293e-02
1.300000e+00 8.795713e-02
1.350000e+00 1.084071e-01
1.400000e+00 1.390977e-01
1.450000e+00 1.758890e-01
1.500000e+00 1.930423e-01
1.550000e+00 2.294328e-01
1.600000e+00 2.612266e-01
1.650000e+00 2.584587e-01
1.700000e+00 3.230028e-01
1.750000e+00 3.663036e-01
1.800000e+00 3.918103e-01
1.850000e+00 4.268037e-01
1.900000e+00 4.435154e-01
1.950000e+00 4.301884e-01
2.000000e+00 4.342981e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.250776e-04
1.100000e+00 4.817222e-03
1.150000e+00 1.527676e-02
1.200000e+00 3.467161e-02
1.250000e+00 4.419276e-02
1.300000e+00 9.608779e-02
1.350000e+00 1.364152e-01
1.400000e+00 1.519623e-01
1.450000e+00 1.977647e-01
1.500000e+00 1.995597e-01
1.550000e+00 2.422251e-01
1.600000e+00 2.773801e-01
1.650000e+00 2.966132e-01
1.700000e+00 2.967779e-01
1.750000e+00 3.586999e-01
1.800000e+00 3.833208e-01
1.850000e+00 4.059597e-01
1.900000e+00 4.100603e-01
1.950000e+00 4.516287e-01
2.000000e+00 4.484558e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.174525e-04
1.100000e+00 4.000230e-03
1.150000e+00 1.953855e-02
1.200000e+00 4.839456e-02
1.250000e+00 6.303380e-02
1.300000e+00 9.028445e-02
1.350000e+00 1.184586e-01
1.400000e+00 1.619856e-01
1.450000e+00 1.856737e-01
1.500000e+00 2.269854e-01
1.550000e+00 2.285761e-01
1.600000e+00 2.617916e-01
1.650000e+00 2.979140e-01
1.700000e+00 3.048754e-01
1.750000e+00 3.375274e-01
1.800000e+00 3.551490e-01
1.850000e+00 4.063003e-01
1.900000e+00 4.466252e-01
1.950000e+00 4.209858e-01
2.000000e+00 4.723873e-01
1.000000e+00 0.000000e+00
1.050000e+00 5.605261e-05
1.100000e+00 3.509733e-03
1.150000e+00 2.120233e-02
1.200000e+00 5.301698e-02
1.250000e+00 5.778603e-02
1.300000e+00 8.934686e-02
1.350000e+00 1.063616e-01
1.400000e+00 1.242579e-01
1.450000e+00 1.683753e-01
1.500000e+00 2.081652e-01
1.550000e+00 2.271834e-01
1.600000e+00 2.560843e-01
1.650000e+00 2.726650e-01
1.700000e+00 3.304534e-01
1.750000e+00 3.263133e-01
1.800000e+00 3.667356e-01
1.850000e+00 4.045648e-01
1.900000e+00 4.188525e-01
1.950000e+00 4.559360e-01
2.000000e+00 4.523073e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.385412e-04
1.100000e+00 5.779120e-03
1.150000e+00 1.476616e-02
1.200000e+00 5.130851e-02
1.250000e+00 6.369807e-02
1.300000e+00 1.027801e-01
1.350000e+00 1.157738e-01
1.400000e+00 1.420101e-01
1.450000e+00 1.659283e-01
1.500000e+00 2.196631e-01
1.550000e+00 2.429578e-01
1.600000e+00 2.615309e-01
