# k_av S_color
1.000000e+00 0.000000e+00
1.100000e+00 1.928859e-32
1.200000e+00 1.167811e-32
1.300000e+00 2.730837e-32
1.400000e+00 0.000000e+00
1.500000e+00 3.310605e-30
1.600000e+00 3.112966e-30
1.700000e+00 1.834933e-29
1.800000e+00 1.364483e-28
1.900000e+00 8.212401e-28
2.000000e+00 1.234815e-11
2.100000e+00 8.774819e-03
2.200000e+00 2.910843e-02
2.300000e+00 6.076909e-02
2.400000e+00 1.024751e-01
2.500000e+00 1.343268e-01
2.600000e+00 1.775980e-01
2.700000e+00 2.181516e-01
2.800000e+00 2.559371e-01
2.900000e+00 2.957680e-01
3.000000e+00 3.333581e-01
3.100000e+00 3.734882e-01
3.200000e+00 4.142791e-01
3.300000e+00 4.456742e-01
3.400000e+00 4.952044e-01
3.500000e+00 5.138872e-01
3.600000e+00 5.419944e-01
3.700000e+00 5.370031e-01
3.800000e+00 5.879758e-01
3.900000e+00 6.112790e-01
4.000000e+00 6.307968e-01
4.100000e+00 6.656515e-01
4.200000e+00 6.551421e-01
4.300000e+00 6.780369e-01
4.400000e+00 7.149087e-01
4.500000e+00 7.184332e-01
4.600000e+00 7.490565e-01
4.700000e+00 7.486817e-01
4.800000e+00 7.794584e-01
4.900000e+00 7.984644e-01
5.000000e+00 7.940219e-01
5.100000e+00 8.118103e-01
5.200000e+00 8.175926e-01
5.300000e+00 8.328429e-01
5.400000e+00 8.509852e-01
5.500000e+00 8.433304e-01
5.600000e+00 8.715708e-01
5.700000e+00 8.641537e-01
5.800000e+00 8.661005e-01
5.900000e+00 8.812637e-01
6.000000e+00 8.762277e-01
6.100000e+00 9.039855e-01
6.200000e+00 8.975563e-01
6.300000e+00 8.890853e-01
6.400000e+00 9.040048e-01
6.500000e+00 9.138587e-01
6.600000e+00 9.233266e-01
6.700000e+00 9.202789e-01
6.800000e+00 9.296772e-01
6.900000e+00 9.427149e-01
7.000000e+00 9.397756e-01
7.100000e+00 9.342682e-01
7.200000e+00 9.425402e-01
7.300000e+00 9.346475e-01
7.400000e+00 9.482065e-01
7.500000e+00 9.463472e-01
7.600000e+00 9.519135e-01
7.700000e+00 9.529268e-01
7.800000e+00 9.529657e-01
7.900000e+00 9.513148e-01
8.000000e+00 9.584669e-01
8.100000e+00 9.567077e-01
8.200000e+00 9.693085e-01
8.300000e+00 9.692829e-01
8.400000e+00 9.694394e-01
8.500000e+00 9.725259e-01
8.600000e+00 9.744113e-01
8.700000e+00 9.728435e-01
8.800000e+00 9.701054e-01
8.900000e+00 9.795169e-01
9.000000e+00 9.785325e-01
9.100000e+00 9.807473e-01
9.200000e+00 9.806778e-01
9.300000e+00 9.783054e-01
9.400000e+00 9.834017e-01
9.500000e+00 9.822851e-01
9.600000e+00 9.814280e-01
9.700000e+00 9.841698e-01
9.800000e+00 9.852076e-01
9.900000e+00 9.902228e-01
1.000000e+01 9.857458e-01
1.000000e+00 0.000000e+00
1.100000e+00 8.698388e-33
1.200000e+00 1.582680e-32
1.300000e+00 2.462403e-32
1.400000e+00 0.000000e+00
1.500000e+00 2.853995e-30
1.600000e+00 3.233863e-30
1.700000e+00 1.747392e-29
1.800000e+00 1.404429e-28
1.900000e+00 8.427593e-28
2.000000e+00 1.226293e-11
2.100000e+00 9.105157e-03
2.200000e+00 3.085169e-02
2.300000e+00 5.872060e-02
2.400000e+00 9.729193e-02
2.500000e+00 1.382090e-01
2.600000e+00 1.797782e-01
2.700000e+00 2.230777e-01
2.800000e+00 2.526433e-01
2.900000e+00 2.931700e-01
3.000000e+00 3.339006e-01
3.100000e+00 3.692523e-01
3.200000e+00 4.168367e-01
3.300000e+00 4.390935e-01
3.400000e+00 4.891612e-01
3.500000e+00 4.874147e-01
3.600000e+00 5.417121e-01
3.700000e+00 5.595930e-01
3.800000e+00 5.711983e-01
3.900000e+00 6.091072e-01
4.000000e+00 6.282751e-01
4.100000e+00 6.386405e-01
4.200000e+00 6.638324e-01
4.300000e+00 6.951011e-01
4.400000e+00 7.173024e-01
4.500000e+00 7.344900e-01
4.600000e+00 7.369595e-01
4.700000e+00 7.564749e-01
4.800000e+00 7.597641e-01
4.900000e+00 7.859230e-01
5.000000e+00 7.839011e-01
5.100000e+00 8.109460e-01
5.200000e+00 8.333787e-01
5.300000e+00 8.316845e-01
5.400000e+00 8.590991e-01
5.500000e+00 8.609727e-01
5.600000e+00 8.620783e-01
5.700000e+00 8.691352e-01
5.800000e+00 8.681488e-01
5.900000e+00 8.576502e-01
6.000000e+00 8.925263e-01
6.100000e+00 8.826530e-01
6.200000e+00 8.974532e-01
6.300000e+00 9.020704e-01
6.400000e+00 9.063758e-01
6.500000e+00 9.046491e-01
6.600000e+00 9.121500e-01
6.700000e+00 9.299227e-01
6.800000e+00 9.279952e-01
6.900000e+00 9.313267e-01
7.000000e+00 9.261356e-01
7.100000e+00 9.386503e-01
7.200000e+00 9.434084e-01
7.300000e+00 9.504401e-01
7.400000e+00 9.474735e-01
7.500000e+00 9.459578e-01
7.600000e+00 9.514012e-01
7.700000e+00 9.554758e-01
7.800000e+00 9.478211e-01
7.900000e+00 9.586336e-01
8.000000e+00 9.654139e-01
8.100000e+00 9.664544e-01
8.200000e+00 9.686736e-01
8.300000e+00 9.687272e-01
8.400000e+00 9.642941e-01
8.500000e+00 9.708024e-01
8.600000e+00 9.744058e-01
8.700000e+00 9.716983e-01
8.800000e+00 9.724407e-01
8.900000e+00 9.717151e-01
9.000000e+00 9.788276e-01
9.100000e+00 9.797380e-01
9.200000e+00 9.793010e-01
9.300000e+00 9.841807e-01
9.400000e+00 9.800955e-01
9.500000e+00 9.838030e-01
9.600000e+00 9.804919e-01
9.700000e+00 9.879739e-01
9.800000e+00 9.867905e-01
9.900000e+00 9.895880e-01
1.000000e+01 9.848504e-01
1.000000e+00 0.000000e+00
1.100000e+00 6.374223e-33
1.200000e+00 1.298387e-32
1.300000e+00 2.488602e-32
1.400000e+00 0.000000e+00
1.500000e+00 2.566936e-30
1.600000e+00 3.243629e-30
1.700000e+00 1.811926e-29
1.800000e+00 1.399109e-28
1.900000e+00 8.246605e-28
2.000000e+00 1.225016e-11
2.100000e+00 8.565391e-03
2.200000e+00 3.165370e-02
2.300000e+00 6.662829e-02
2.400000e+00 9.866576e-02
2.500000e+00 1.419652e-01
2.600000e+00 1.730038e-01
2.700000e+00 2.267575e-01
2.800000e+00 2.676451e-01
2.900000e+00 2.969722e-01
3.000000e+00 3.334443e-01
3.100000e+00 3.915234e-01
3.200000e+00 3.903000e-01
3.300000e+00 4.404436e-01
3.400000e+00 5.016588e-01
3.500000e+00 5.064475e-01
3.600000e+00 5.158412e-01
3.700000e+00 5.585576e-01
3.800000e+00 5.836273e-01
3.900000e+00 6.221073e-01
4.000000e+00 6.208835e-01
4.100000e+00 6.439297e-01
4.200000e+00 6.646432e-01
4.300000e+00 6.706809e-01
4.400000e+00 7.271777e-01
4.500000e+00 7.459989e-01
4.600000e+00 7.271811e-01
4.700000e+00 7.661415e-01
4.800000e+00 7.491238e-01
4.900000e+00 7.696915e-01
5.000000e+00 7.977972e-01
5.100000e+00 8.165747e-01
5.200000e+00 8.171838e-01
5.300000e+00 8.281558e-01
5.400000e+00 8.258042e-01
5.500000e+00 8.477299e-01
5.600000e+00 8.485331e-01
5.700000e+00 8.685858e-01
5.800000e+00 8.612888e-01
5.900000e+00 8.714601e-01
6.000000e+00 8.960946e-01
6.100000e+00 8.843128e-01
6.200000e+00 8.949038e-01
6.300000e+00 9.123976e-01
6.400000e+00 9.005331e-01
6.500000e+00 9.085145e-01
6.600000e+00 9.133373e-01
6.700000e+00 9.291288e-01
6.800000e+00 9.257167e-01
6.900000e+00 9.275405e-01
7.000000e+00 9.360587e-01
7.100000e+00 9.448971e-01
7.200000e+00 9.412986e-01
7.300000e+00 9.451223e-01
7.400000e+00 9.533638e-01
7.500000e+00 9.550258e-01
7.600000e+00 9.522026e-01
7.700000e+00 9.573152e-01
7.800000e+00 9.530148e-01
7.900000e+00 9.600764e-01
8.000000e+00 9.682818e-01
8.100000e+00 9.653562e-01
8.200000e+00 9.567278e-01
8.300000e+00 9.714142e-01
8.400000e+00 9.692793e-01
