# k_step gamma S_color
1000 0.000000e+00 4.460000e-02
100 4.000000e-04 5.130000e-02
65 7.000000e-04 4.820000e-02
50 1.500000e-03 5.360000e-02
40 1.100000e-03 4.510000e-02
30 2.500000e-03 2.610000e-02
26 3.300000e-03 2.000000e-02
23 4.800000e-03 2.600000e-02
20 5.600000e-03 1.510000e-02
18 5.800000e-03 7.200000e-03
17 6.200000e-03 4.500000e-03
16 7.500000e-03 3.500000e-03
15 1.050000e-02 4.900000e-03
1000 0.000000e+00 5.740000e-02
100 5.000000e-04 5.660000e-02
65 1.200000e-03 4.630000e-02
50 1.400000e-03 4.530000e-02
40 1.300000e-03 3.250000e-02
30 2.800000e-03 3.610000e-02
26 4.000000e-03 3.070000e-02
23 5.300000e-03 1.550000e-02
20 7.400000e-03 1.080000e-02
18 7.500000e-03 2.800000e-03
17 8.200000e-03 7.000000e-03
16 9.200000e-03 6.100000e-03
15 1.000000e-02 2.100000e-03
1000 0.000000e+00 7.480000e-02
100 1.100000e-03 5.960000e-02
65 5.000000e-04 4.610000e-02
50 1.500000e-03 5.720000e-02
40 2.000000e-03 4.190000e-02
30 3.700000e-03 4.030000e-02
26 4.100000e-03 1.540000e-02
23 4.700000e-03 1.240000e-02
20 6.400000e-03 2.220000e-02
18 5.800000e-03 1.080000e-02
17 7.100000e-03 7.100000e-03
16 6.800000e-03 7.900000e-03
15 9.700000e-03 3.500000e-03
1000 0.000000e+00 5.750000e-02
100 4.000000e-04 7.010000e-02
65 1.000000e-03 8.910000e-02
50 2.300000e-03 7.630000e-02
40 2.800000e-03 4.950000e-02
30 3.200000e-03 1.260000e-02
26 3.500000e-03 4.030000e-02
23 5.400000e-03 1.090000e-02
20 5.900000e-03 3.900000e-03
18 6.600000e-03 1.650000e-02
17 8.400000e-03 3.900000e-03
16 6.700000e-03 1.190000e-02
15 8.800000e-03 4.300000e-03
1000 0.000000e+00 5.540000e-02
100 7.000000e-04 5.810000e-02
65 1.000000e-03 5.680000e-02
50 1.400000e-03 5.630000e-02
40 1.800000e-03 3.520000e-02
30 3.000000e-03 4.700000e-03
26 3.500000e-03 3.560000e-02
23 4.500000e-03 2.460000e-02
20 6.000000e-03 6.400000e-03
18 7.500000e-03 9.400000e-03
17 8.300000e-03 4.500000e-03
16 6.400000e-03 9.200000e-03
15 8.300000e-03 5.400000e-03
1000 0.000000e+00 6.470000e-02
100 8.000000e-04 5.190000e-02
65 1.200000e-03 4.130000e-02
50 1.700000e-03 4.460000e-02
40 2.200000e-03 3.020000e-02
30 3.600000e-03 5.220000e-02
26 4.100000e-03 3.910000e-02
23 4.100000e-03 9.300000e-03
20 5.900000e-03 6.900000e-03
18 7.000000e-03 4.500000e-03
17 6.900000e-03 7.000000e-03
16 9.000000e-03 4.000000e-03
15 8.900000e-03 3.700000e-03
1000 0.000000e+00 5.700000e-02
100 8.000000e-04 5.770000e-02
65 1.300000e-03 5.210000e-02
50 1.200000e-03 4.020000e-02
40 2.200000e-03 9.100000e-03
30 2.800000e-03 4.000000e-02
26 3.800000e-03 2.480000e-02
23 4.900000e-03 1.050000e-02
20 4.900000e-03 2.540000e-02
18 6.000000e-03 4.900000e-03
17 6.500000e-03 5.500000e-03
16 8.100000e-03 6.500000e-03
15 7.200000e-03 7.000000e-03
1000 0.000000e+00 6.460000e-02
100 7.000000e-04 6.930000e-02
65 1.500000e-03 4.340000e-02
50 2.300000e-03 5.130000e-02
40 2.100000e-03 3.930000e-02
30 3.700000e-03 4.220000e-02
26 3.900000e-03 2.000000e-02
23 4.600000e-03 1.360000e-02
20 5.500000e-03 1.030000e-02
18 6.500000e-03 4.600000e-03
17 7.800000e-03 1.670000e-02
16 8.100000e-03 5.200000e-03
15 8.900000e-03 3.300000e-03
1000 1.000000e-04 6.350000e-02
100 8.000000e-04 5.550000e-02
65 8.000000e-04 3.900000e-02
50 1.500000e-03 4.070000e-02
40 2.000000e-03 3.630000e-02
30 4.300000e-03 3.240000e-02
26 4.500000e-03 3.410000e-02
23 3.800000e-03 7.600000e-03
20 6.600000e-03 9.500000e-03
18 5.400000e-03 9.100000e-03
17 6.400000e-03 3.300000e-03
16 7.300000e-03 1.070000e-02
15 9.300000e-03 3.100000e-03
1000 0.000000e+00 6.340000e-02
100 6.000000e-04 5.200000e-02
65 1.200000e-03 4.830000e-02
50 2.200000e-03 5.590000e-02
40 1.800000e-03 5.480000e-02
30 2.900000e-03 4.370000e-02
26 4.400000e-03 3.900000e-02
23 4.600000e-03 2.830000e-02
20 5.000000e-03 2.250000e-02
18 6.600000e-03 8.900000e-03
17 7.200000e-03 1.030000e-02
16 8.300000e-03 8.300000e-03
15 9.800000e-03 3.900000e-03
1000 1.000000e-04 5.500000e-02
100 6.000000e-04 5.790000e-02
65 1.100000e-03 4.800000e-02
50 1.300000e-03 4.520000e-02
40 1.300000e-03 4.850000e-02
30 3.200000e-03 2.950000e-02
26 5.000000e-03 2.410000e-02
23 5.600000e-03 1.640000e-02
20 6.900000e-03 2.550000e-02
18 7.800000e-03 1.640000e-02
17 7.000000e-03 7.600000e-03
16 7.800000e-03 1.170000e-02
15 8.400000e-03 2.800000e-03
1000 0.000000e+00 6.300000e-02
100 3.000000e-04 5.220000e-02
65 1.500000e-03 4.780000e-02
50 9.000000e-04 4.880000e-02
40 1.600000e-03 3.090000e-02
30 4.000000e-03 3.400000e-02
26 4.700000e-03 3.520000e-02
23 3.900000e-03 8.800000e-03
20 6.300000e-03 2.360000e-02
18 7.200000e-03 1.300000e-02
17 9.000000e-03 4.100000e-03
16 9.400000e-03 7.000000e-03
15 8.400000e-03 7.300000e-03
1000 0.000000e+00 6.040000e-02
100 6.000000e-04 5.550000e-02
65 1.100000e-03 6.400000e-02
50 2.000000e-03 3.770000e-02
40 1.800000e-03 2.850000e-02
30 3.600000e-03 1.840000e-02
26 4.400000e-03 1.910000e-02
23 4.200000e-03 2.740000e-02
20 6.100000e-03 1.030000e-02
18 6.200000e-03 1.110000e-02
17 5.800000e-03 4.800000e-03
16 7.500000e-03 3.540000e-02
15 8.000000e-03 2.600000e-03
1000 0.000000e+00 5.850000e-02
100 3.000000e-04 5.230000e-02
65 1.000000e-03 4.760000e-02
50 1.400000e-03 4.830000e-02
40 1.400000e-03 3.090000e-02
30 2.700000e-03 8.900000e-03
26 3.900000e-03 1.680000e-02
23 4.400000e-03 1.290000e-02
20 6.900000e-03 1.280000e-02
18 7.700000e-03 7.900000e-03
17 7.600000e-03 5.800000e-03
16 8.800000e-03 2.000000e-03
15 8.200000e-03 8.400000e-03
1000 0.000000e+00 6.680000e-02
100 8.000000e-04 4.410000e-02
65 1.300000e-03 5.700000e-02
50 1.500000e-03 5.740000e-02
40 1.200000e-03 4.590000e-02
30 3.600000e-03 1.110000e-02
26 4.200000e-03 3.900000e-02
23 5.000000e-03 3.320000e-02
20 6.600000e-03 3.090000e-02
18 8.100000e-03 3.800000e-03
17 8.200000e-03 8.800000e-03
16 7.800000e-03 8.800000e-03
15 9.400000e-03 8.900000e-03
1000 1.000000e-04 7.170000e-02
100 8.000000e-04 4.920000e-02
65 9.000000e-04 5.740000e-02
50 1.400000e-03 4.670000e-02
40 2.500000e-03 2.620000e-02
30 3.700000e-03 2.590000e-02
26 3.600000e-03 1.120000e-02
23 4.100000e-03 3.110000e-02
20 6.100000e-03 1.560000e-02
18 5.100000e-03 9.100000e-03
17 7.000000e-03 1.100000e-02
16 7.300000e-03 3.100000e-03
15 8.600000e-03 5.800000e-03
1000 0.000000e+00 6.030000e-02
100 4.000000e-04 5.520000e-02
65 7.000000e-04 4.640000e-02
50 1.000000e-03 4.060000e-02
40 2.100000e-03 4.930000e-02
30 3.800000e-03 1.910000e-02
26 3.800000e-03 3.050000e-02
23 4.900000e-03 1.200000e-02
