# k_step gamma S_color
1000 3.650000e-04 1.720600e-01
100 3.685000e-03 1.070800e-01
65 6.060000e-03 8.455500e-02
50 8.115000e-03 7.616500e-02
40 1.001500e-02 1.030550e-01
30 1.415500e-02 5.888500e-02
26 1.670500e-02 2.055000e-03
23 1.911000e-02 1.235000e-03
20 2.246000e-02 7.950000e-04
18 2.500000e-02 1.430000e-03
17 2.616000e-02 1.505000e-03
16 2.837500e-02 3.800000e-04
15 3.072000e-02 6.950000e-04
1000 2.750000e-04 1.904150e-01
100 3.615000e-03 1.260050e-01
65 5.940000e-03 6.458500e-02
50 7.835000e-03 9.579000e-02
40 1.021500e-02 9.100000e-04
30 1.396500e-02 3.811000e-02
26 1.664500e-02 5.015500e-02
23 1.911500e-02 1.225000e-03
20 2.220000e-02 1.715000e-03
18 2.498000e-02 1.110000e-03
17 2.694000e-02 1.760000e-03
16 2.859500e-02 2.050000e-04
15 3.023500e-02 5.800000e-04
1000 2.600000e-04 1.636250e-01
100 3.555000e-03 1.534450e-01
65 5.955000e-03 7.390500e-02
50 7.855000e-03 1.024350e-01
40 9.940000e-03 8.613000e-02
30 1.430500e-02 7.100000e-04
26 1.665500e-02 5.390000e-03
23 1.951000e-02 5.850000e-04
20 2.228500e-02 1.225000e-03
18 2.519500e-02 4.700000e-04
17 2.634000e-02 6.250000e-04
16 2.845500e-02 1.440000e-03
15 3.037500e-02 6.300000e-04
1000 2.900000e-04 1.730700e-01
100 3.610000e-03 1.194550e-01
65 6.060000e-03 9.331500e-02
50 8.025000e-03 4.741500e-02
40 1.008500e-02 8.524500e-02
30 1.402500e-02 2.577500e-02
26 1.681000e-02 2.735000e-03
23 1.974500e-02 3.570000e-03
20 2.294500e-02 8.000000e-04
18 2.499500e-02 1.450000e-03
17 2.714000e-02 6.650000e-04
16 2.894000e-02 2.805000e-03
15 3.042000e-02 3.350000e-04
1000 2.150000e-04 2.009100e-01
100 3.760000e-03 1.163300e-01
65 5.910000e-03 9.535000e-02
50 7.855000e-03 9.290500e-02
40 1.049000e-02 7.625000e-02
30 1.377500e-02 4.589500e-02
26 1.634500e-02 4.020000e-03
23 1.918500e-02 1.050000e-03
20 2.213500e-02 7.615000e-03
18 2.539500e-02 2.280000e-03
17 2.669000e-02 6.850000e-04
16 2.887000e-02 6.700000e-04
15 3.060500e-02 1.235000e-03
1000 2.700000e-04 1.767850e-01
100 3.440000e-03 1.227100e-01
65 5.960000e-03 7.039000e-02
50 7.585000e-03 1.174150e-01
40 1.083000e-02 6.048000e-02
30 1.414500e-02 4.621000e-02
26 1.657000e-02 3.694500e-02
23 1.949500e-02 4.350000e-03
20 2.197500e-02 2.715000e-03
18 2.497500e-02 1.180000e-03
17 2.699500e-02 6.850000e-04
16 2.835000e-02 4.100000e-04
15 3.011500e-02 6.050000e-04
1000 2.350000e-04 1.835450e-01
100 3.625000e-03 1.581250e-01
65 5.640000e-03 1.181550e-01
50 7.850000e-03 6.505500e-02
40 1.042000e-02 5.321500e-02
30 1.433500e-02 6.500000e-03
26 1.645000e-02 7.200000e-04
23 1.887500e-02 2.125000e-03
20 2.230000e-02 1.485000e-03
18 2.503000e-02 1.170000e-03
17 2.668500e-02 8.950000e-04
16 2.856000e-02 6.100000e-04
15 3.101000e-02 6.600000e-04
1000 3.300000e-04 1.603700e-01
100 3.720000e-03 9.361000e-02
65 6.095000e-03 9.212500e-02
50 8.035000e-03 8.856000e-02
40 9.950000e-03 3.247500e-02
30 1.411500e-02 3.594500e-02
26 1.695500e-02 2.800000e-03
23 1.815000e-02 1.820000e-03
20 2.211000e-02 1.155000e-03
18 2.515500e-02 3.650000e-04
17 2.687500e-02 7.550000e-04
16 2.879000e-02 5.450000e-04
15 3.135000e-02 1.300000e-04
1000 3.300000e-04 8.766500e-02
100 3.670000e-03 9.888500e-02
65 6.035000e-03 8.581500e-02
50 8.025000e-03 6.192000e-02
40 9.900000e-03 3.107500e-02
30 1.443500e-02 5.321500e-02
26 1.701500e-02 5.295000e-03
23 1.966500e-02 5.188500e-02
20 2.271500e-02 3.000000e-04
18 2.436500e-02 9.200000e-04
17 2.646000e-02 4.350000e-04
16 2.894000e-02 1.200000e-04
15 3.051000e-02 4.600000e-04
1000 3.000000e-04 1.816000e-01
100 3.750000e-03 1.186450e-01
65 5.875000e-03 1.187250e-01
50 8.085000e-03 9.071000e-02
40 9.930000e-03 8.825000e-02
30 1.404000e-02 1.286000e-02
26 1.639000e-02 3.300500e-02
23 1.920500e-02 2.150000e-04
20 2.246500e-02 3.750000e-04
18 2.443500e-02 8.850000e-04
17 2.683000e-02 1.330000e-03
16 2.853500e-02 4.350000e-04
15 3.106000e-02 6.100000e-04
1000 3.150000e-04 1.815900e-01
100 3.980000e-03 1.132700e-01
65 6.025000e-03 1.077600e-01
50 8.020000e-03 7.412000e-02
40 1.045500e-02 5.400500e-02
30 1.438500e-02 1.702500e-02
26 1.639000e-02 5.010000e-03
23 1.852500e-02 9.370000e-03
20 2.146500e-02 6.350000e-04
18 2.523500e-02 6.900000e-04
17 2.662500e-02 5.450000e-04
16 2.866500e-02 1.400000e-04
15 3.110000e-02 6.350000e-04
1000 2.600000e-04 1.459750e-01
100 3.645000e-03 1.357750e-01
65 5.720000e-03 6.795500e-02
50 7.940000e-03 1.192600e-01
40 1.047500e-02 7.634500e-02
30 1.400000e-02 1.550000e-03
26 1.646000e-02 7.000000e-05
23 1.886500e-02 1.341000e-02
20 2.199000e-02 2.550000e-03
18 2.558000e-02 1.195000e-03
17 2.670500e-02 8.200000e-04
16 2.862500e-02 5.650000e-04
15 3.068000e-02 3.700000e-04
1000 3.050000e-04 1.815200e-01
100 3.865000e-03 1.050350e-01
65 5.980000e-03 1.221650e-01
50 8.245000e-03 7.476000e-02
40 1.001500e-02 9.725000e-02
30 1.397500e-02 2.715000e-02
26 1.667500e-02 9.265000e-03
23 1.938500e-02 7.045000e-03
20 2.195500e-02 2.270000e-03
18 2.487500e-02 9.700000e-04
17 2.681500e-02 1.255000e-03
16 2.820000e-02 4.100000e-04
15 3.064500e-02 3.700000e-04
1000 2.500000e-04 1.981400e-01
100 3.765000e-03 1.092300e-01
65 5.640000e-03 6.518000e-02
50 7.920000e-03 1.085950e-01
