# k_step gamma S_color
1000 1.572707e-05 6.022755e-02
100 5.007036e-04 5.998769e-02
65 9.593262e-04 5.066817e-02
50 1.426878e-03 4.933175e-02
40 2.001627e-03 3.932518e-02
30 3.101068e-03 3.607792e-02
26 3.858403e-03 2.723484e-02
23 4.654944e-03 1.576452e-02
20 5.768886e-03 2.001154e-06
18 6.784906e-03 4.221517e-15
17 7.410498e-03 8.333031e-16
16 8.138468e-03 -1.369337e-15
15 8.993899e-03 -1.388834e-15
1000 1.572707e-05 5.542862e-02
100 5.007036e-04 5.263890e-02
65 9.593262e-04 5.163846e-02
50 1.426878e-03 4.785285e-02
40 2.001627e-03 4.298156e-02
30 3.101068e-03 3.479131e-02
26 3.858403e-03 2.633755e-02
23 4.654944e-03 1.743911e-02
20 5.768886e-03 2.047241e-06
18 6.784906e-03 4.230381e-15
17 7.410498e-03 8.513788e-16
16 8.138468e-03 -1.407000e-15
15 8.993899e-03 -1.400322e-15
1000 1.572707e-05 6.033411e-02
100 5.007036e-04 6.268873e-02
65 9.593262e-04 4.745701e-02
50 1.426878e-03 4.281186e-02
40 2.001627e-03 4.176805e-02
30 3.101068e-03 3.456095e-02
26 3.858403e-03 2.794208e-02
23 4.654944e-03 1.636650e-02
20 5.768886e-03 1.871418e-06
18 6.784906e-03 4.221632e-15
17 7.410498e-03 8.626358e-16
16 8.138468e-03 -1.332367e-15
15 8.993899e-03 -1.273694e-15
1000 1.572707e-05 6.314887e-02
100 5.007036e-04 5.433727e-02
65 9.593262e-04 4.604896e-02
50 1.426878e-03 4.545794e-02
40 2.001627e-03 4.312295e-02
30 3.101068e-03 3.266182e-02
26 3.858403e-03 2.596369e-02
23 4.654944e-03 1.784469e-02
20 5.768886e-03 2.051182e-06
18 6.784906e-03 4.205091e-15
17 7.410498e-03 8.629189e-16
16 8.138468e-03 -1.435268e-15
15 8.993899e-03 -1.302579e-15
1000 1.572707e-05 6.773424e-02
100 5.007036e-04 5.471847e-02
65 9.593262e-04 4.975919e-02
50 1.426878e-03 5.170165e-02
40 2.001627e-03 4.062778e-02
30 3.101068e-03 3.222904e-02
26 3.858403e-03 2.467669e-02
23 4.654944e-03 1.807174e-02
20 5.768886e-03 1.985825e-06
18 6.784906e-03 4.034231e-15
17 7.410498e-03 8.572126e-16
16 8.138468e-03 -1.372376e-15
15 8.993899e-03 -1.402657e-15
1000 1.572707e-05 6.052156e-02
100 5.007036e-04 4.808494e-02
65 9.593262e-04 5.032434e-02
50 1.426878e-03 4.646680e-02
40 2.001627e-03 4.498484e-02
30 3.101068e-03 3.263578e-02
26 3.858403e-03 2.565311e-02
23 4.654944e-03 1.601212e-02
20 5.768886e-03 2.026121e-06
18 6.784906e-03 4.207482e-15
17 7.410498e-03 8.563711e-16
16 8.138468e-03 -1.391126e-15
15 8.993899e-03 -1.448533e-15
1000 1.572707e-05 5.919413e-02
100 5.007036e-04 5.379092e-02
65 9.593262e-04 5.167757e-02
50 1.426878e-03 4.881108e-02
40 2.001627e-03 3.905506e-02
30 3.101068e-03 3.404522e-02
26 3.858403e-03 2.376945e-02
23 4.654944e-03 1.723170e-02
20 5.768886e-03 1.987480e-06
18 6.784906e-03 4.255138e-15
17 7.410498e-03 8.026166e-16
16 8.138468e-03 -1.288673e-15
15 8.993899e-03 -1.370511e-15
